analysis_date_time,dirPath,solidity[U],arc_solidity[u],separated_delay[us],faced_delay[us],regament_max_delay[us],max_regament_length[pix],main_average_velocity[pix/us],main_average_velocity[m/s],main_velocity_stddiv[pix/us],main_angle[degrees],satellite_average_velocity[pix/us],satellite_average_velocity[m/s],satellite_velocity_stddiv[pix/us],satellite_angle[degrees],main-satellite_angle_diff[degrees],main_linearity_error[pix],satellite_linearity_error[pix],most_freq_Y[pix],CODE_VER,main_velocity_is_too_fast,main_velocity_is_too_slow,nozzle_is_needed_to_clean,suspicious_visco-elasticity,angle-diff_is_too_large,THRESH_VALUES_VER,num_contours_at_first,abnormal_ejaction,condition,camera_resolution,API_VER,max_regament_delay[us],CONTOUR_CODE_VER,AUTO_TRACKING_CODE_VER,flag_droplet_faced,flag_droplet_separated,camera_resolution[um/pix],file_name,anormaly_ejections_at_first_image,nozzle_needs_to_be_clean,exotic-droplet_exists,layered_main_0_ave[pix/us],layered_main_0_stdiv[pix/us],layered_sat_0_ave[pix/us],layered_main_1_ave[pix/us],layered_main_1_stdiv[pix/us],layered_sat_1_ave[pix/us],layered_main_2_ave[pix/us],layered_main_2_stdiv[pix/us],layered_sat_2_ave[pix/us],layered_main_3_ave[pix/us],layered_main_3_stdiv[pix/us],layered_sat_3_ave[pix/us],layered_main_4_ave[pix/us],layered_main_4_stdiv[pix/us],layered_sat_4_ave[pix/us],RESERVED0,RESERVED1,RESERVED2,RESERVED3,RESERVED4
2020-10-20_09:07:02,demo_data/test4,1.0237945051864312,0.988818756978694,387.0,157.2,574.0,387.0,2.4839330158059973,7.948585650579193,2.3273176104282403,0.002538533989252861,2.17128164556962,6.948101265822783,0.3306171737984557,0.0,0.002538533989252861,1.5185641202760678,0.0,11.0,0.1.2,False,False,True,True,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_09:07:21,uploads/E1657_吐出画像20201014105124/E1657_吐出画像20201014105124,1.013722868826675,0.9887948291289116,267.4,170.7,225.0355527466716,267.4,1.8936632917913008,6.059722533732161,0.4470354454564481,1.3847492217948678,1.449232943375728,4.63754541880233,0.5041305050182333,0.9634017138832702,0.4213475079115976,1.7010210610000345,1.9192850250403524,8.0,0.1.2,False,False,False,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_09:14:51,E1657_吐出画像20201016140736,1.0134934339986346,0.9869093620361772,269.0,180.7,239.10248848558643,303.6,1.9627602829039992,6.280832905292798,1.1593588289131669,0.5751591852881209,1.0221414117717411,3.2708525176695726,0.30903123287841155,-0.8203451765644953,1.3955043618526162,2.0663954399492748,2.751963663736888,8.0,0.1.2,False,False,False,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_09:44:27,E0893_吐出画像20201019143627,1.0202970858373963,0.9892421608300952,276.7,201.7,215.00523249446744,276.7,1.9157445126035089,6.130382440331228,0.17944026147138914,2.5195932313091984,1.0858373304086912,3.474679457307812,0.3487345013325672,3.5370939441057136,1.0175007127965152,1.453009267960283,13.383700927310144,7.0,0.1.2,False,False,True,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:01:30,alternalia,1.03129203539823,0.9751678516751164,259.4,163.7,252.0,307.8,1.9770917557965937,6.3266936185491005,0.8845989994496875,2.323209815425067,1.4820600023236086,4.742592007435547,0.6914897034060684,2.1149570943397604,0.20825272108530649,2.677740263732261,4.145553639900868,19.0,0.1.2,False,False,True,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:08:35,test4,1.0237945051864312,0.988818756978694,387.0,157.2,574.0,387.0,2.4839330158059973,7.948585650579193,2.3273176104282403,0.002538533989252861,2.17128164556962,6.948101265822783,0.3306171737984557,0.0,0.002538533989252861,1.5185641202760678,0.0,11.0,0.1.2,False,False,True,True,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:08:39,test2,1.0547945205479452,0.9590585285473708,367.3,167.2,559.0807186802276,382.8,2.548874552486789,8.156398567957725,2.4347475156247715,2.6013870680909945,1.6086403773809832,5.147649207619147,0.8861783579377378,0.07874889886499609,2.5226381692259983,1.682414199138492,4.396917867527236,48.0,0.1.2,False,False,True,True,True,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:09:00,E0893_吐出画像20201019143627,1.0202970858373963,0.9892421608300952,276.7,201.7,215.00523249446744,276.7,1.9157445126035089,6.130382440331228,0.17944026147138914,2.5195932313091984,1.0858373304086912,3.474679457307812,0.3487345013325672,3.5370939441057136,1.0175007127965152,1.453009267960283,13.383700927310144,7.0,0.1.2,False,False,True,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:33:10,E1657_吐出画像20201016140736,1.0134934339986346,0.9869093620361772,269.0,180.7,239.10248848558643,303.6,1.9627602829039992,6.280832905292798,1.1593588289131669,0.5751591852881209,1.0221414117717411,3.2708525176695726,0.30903123287841155,-0.8203451765644953,1.3955043618526162,2.0663954399492748,2.751963663736888,8.0,0.1.2,False,False,False,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:36:02,test1,1.0153698366954849,0.9877534535583352,274.0,176.3,275.00181817580767,370.7,2.2947916109129203,7.343333154921344,0.8287733977310443,2.5619507812469813,1.2992387919617825,4.157564134277703,0.5576244222021162,1.7806527414596105,0.781298039787371,1.3963031542824922,9.756434775775716,10.0,0.1.2,False,False,False,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20_13:36:08,test3,1.0137874435781702,0.9836935643636388,278.1,163.1,243.08691861142998,296.7,1.7378192324396555,5.561021543806898,0.8713917862015161,0.8976838943181545,1.3481607246012388,4.314114318723965,0.5816701297385751,0.6248821018392708,0.2728017924788837,1.7252162639548487,5.194612888493936,10.0,0.1.2,False,False,False,False,False,0.1.1,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:25:43,SMZ_test,1.0146209386281588,0.9803613106925676,300.0,0.0,,330.0,0.9287847262721072,3.2507465419523762,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,237.03375287076733,0.0.0,0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:29:54,SMZ_test,1.0146209386281588,0.9803613106925676,300.0,0.0,,330.0,0.9287847262721072,3.250746541952376,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,237.03375287076733,0.0.0,0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:35:52,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,0.0,,360.0,0.9287847262721072,3.2507465419523762,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.0,0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:36:37,alternalia,1.03129203539823,0.9751678516751164,259.4,163.7,,307.8,1.9770917557965937,6.919821145288077,0.8845989994496875,2.323209815425067,1.4820600023236086,5.18721000813263,0.6914897034060684,2.1149570943397604,0.20825272108530649,2.677740263732261,4.145553639900868,19.0,,False,False,True,False,False,0.1.3,1.0,False,,3.5,0.0.0,252.0,0.0.0,0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:48:26,KC_test,1.0054296903154505,0.9761706028502192,200.0,0.0,,280.0,0.8013846284534354,2.8048461995870237,0.30276925690687084,1.463197046558354,0.04500000000000001,0.15750000000000006,0.06037383539249429,2.851291606805876e-15,1.4631970465583508,0.7701115678215159,1.0,7.0,,False,True,False,False,True,0.1.3,1.0,False,,3.5,0.0.0,100.49875621120891,0.0.1,0.0.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_11:51:00,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,0.0,,360.0,0.9287847262721072,3.250746541952376,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.1,0.0.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_12:02:19,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,0.0,,360.0,0.9287847262721072,3.2507465419523762,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.1,0.0.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,
