Fire,Sample,HeadSerial,Label,Solidity[U],ArcSolidity[U],Separated_Delay[us],Faced_Delay[us],Max_Regament_Length[pix],Delay_at_Max_Regament_Length[us],MainVelocity[pix/us],MainVelocityDiviation[pix/us],MainAngle[degrees],SatelliteVelocity[pix/us],SatelliteVelocityDiv[pix/us],SatelliteAngle[degrees],MainLinearityError[pix],SatelliteLInearityError[pix/us],VolumeAve[pix^3],VolumeDiv[pix^3],Most_Freq_Y[pix],Most_Freq_Y_Count[count],CODE_VER
T1354_吐出画像20200625110808,ガ,T1354,1,1.009090175,0.99779031,233.6,162.9,244.0737593,249.5,1.927737457,0.860851904,1.02554676,1.806062878,1.177954049,0.745960755,3.277805717,4.052080828,471083.7819,1034110.003,38,6,0.05
T1173_吐出画像20200330161648,マグロ,T1173,1,1.032820297,0.981248403,236.6,161.9,257.2144047,309.8,2.548796836,0.712856849,1.587185715,1.516975781,0.719274183,0.585322775,1.215097316,2.641842139,643363.9321,292617.5366,45,14,0.05
